Date,Open,Close,High,Low,Volume,code,Adj Close
2016-11-04,8.592,8.545,8.63,8.526,303318.0,600048,8.545
2016-11-07,8.573,8.545,8.573,8.517,217157.0,600048,8.545
2016-11-08,8.564,8.545,8.583,8.526,286147.0,600048,8.545
2016-11-09,8.555,8.564,8.639,8.47,646646.0,600048,8.564
2016-11-10,8.62,8.639,8.696,8.573,514109.0,600048,8.639
2016-11-11,8.63,8.705,8.724,8.611,640357.0,600048,8.705
2016-11-14,8.677,8.715,8.733,8.658,493577.0,600048,8.715
2016-11-15,8.715,8.79,8.893,8.696,667286.0,600048,8.79
2016-11-16,8.79,8.752,8.799,8.715,353775.0,600048,8.752
2016-11-17,8.743,8.733,8.762,8.696,332194.0,600048,8.733
2016-11-18,8.762,8.818,8.987,8.762,820417.0,600048,8.818
2016-11-21,8.828,8.931,8.997,8.818,656999.0,600048,8.931
2016-11-22,8.94,8.987,9.035,8.884,485794.0,600048,8.987
2016-11-23,9.016,9.251,9.486,9.016,1769872.0,600048,9.251
2016-11-24,9.223,9.307,9.458,9.129,1056568.0,600048,9.307
2016-11-25,9.317,9.467,9.712,9.307,1134726.0,600048,9.467
2016-11-28,9.505,9.411,9.665,9.317,981633.0,600048,9.411
2016-11-30,9.562,9.298,9.665,9.147,1251930.0,600048,9.298
2016-12-01,9.317,10.032,10.23,9.242,4701789.0,600048,10.032
2016-12-02,10.089,9.985,10.446,9.938,3690137.0,600048,9.985
2016-12-05,9.552,9.43,9.599,9.195,2379978.0,600048,9.43
2016-12-06,9.373,9.204,9.439,9.166,1103332.0,600048,9.204
2016-12-07,9.185,9.307,9.373,9.119,852166.0,600048,9.307
2016-12-08,9.298,9.26,9.336,9.204,554539.0,600048,9.26
2016-12-09,9.26,9.355,9.449,9.223,891996.0,600048,9.355
2016-12-12,9.298,9.091,9.307,8.969,1156014.0,600048,9.091
2016-12-13,9.053,8.94,9.082,8.893,556570.0,600048,8.94
2016-12-14,9.006,8.969,9.129,8.959,598212.0,600048,8.969
2016-12-15,8.94,8.809,8.997,8.743,645390.0,600048,8.809
2016-12-16,8.799,8.809,8.884,8.743,347686.0,600048,8.809
2016-12-19,8.809,8.771,8.846,8.724,373332.0,600048,8.771
2016-12-20,8.762,8.649,8.762,8.545,613478.0,600048,8.649
2016-12-21,8.649,8.696,8.733,8.62,348646.0,600048,8.696
